sentence,pattern_name,pillar,claim_type,description,matched_text,strength_score,has_verification,temporal,company_index,company_name
"The company also provides life insurance solutions for transforming current workflows in life insurance underwriting, claim insights, policy administration, unclaimed property/equity, compliance and fraud detection, and actuarial and portfolio modeling; Marketing Solutions, such as compliant, real-time decisioning, profitability, and risk assessment for inbound consumer interactions; and international underwriting and claims solutions.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,28,"VERISK ANALYTICS, INC."
"In addition, it offers claims insurance solutions, which provides analytics in fraud detection, compliance reporting, subrogation liability assessment, litigation, and repair cost estimation and valuation solutions; and casualty solutions, such as compliance, casualty claims decision support, and workflow automation solutions.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,28,"VERISK ANALYTICS, INC."
"It also sells aerial lifts, reach forklifts, telehandlers, compressors, and generators; construction consumables, tools, small equipment, and safety supplies; and parts for equipment that is owned by its customers, as well as provides repair and maintenance services.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,34,"UNITED RENTALS, INC."
"It operates through four segments: Beef, Pork, Chicken, and Prepared Foods.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,41,"TYSON FOODS, INC."
"It also manufactures and markets frozen and refrigerated food products, including ready-to-eat sandwiches, flame-grilled hamburgers, Philly steaks, pepperoni, bacon, breakfast sausage, turkey, lunchmeat, hot dogs, flour and corn tortilla products, appetizers, snacks, prepared meals, ethnic foods, side dishes, meat dishes, breadsticks, and processed meats under the Tyson, Jimmy Dean, Hillshire Farm, Ball Park, Wright, Aidells, ibp, and State Fair brands.",env_certification,Environmental,credential,Environmental certification claim,epa,0.2,True,unspecified,41,"TYSON FOODS, INC."
"Its Transportation segment offers solutions for long haul trucking and freight shipper markets; mobility solutions comprising route management, safety and compliance, end-to-end vehicle management, video intelligence, and supply chain communications; and fleet and transportation management systems, analytics, routing, mapping, reporting, and predictive modeling solutions.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,42,TRIMBLE INC.
"This segment serves engine and power system and subsystem suppliers, airlines, third party maintenance suppliers, military buying agencies, and repair depots.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,43,TRANSDIGM GROUP INCORPORATED
"This segment serves airframe manufacturers, cabin system and subsystem suppliers, airlines, third party maintenance suppliers, military buying agencies, and repair depots.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,43,TRANSDIGM GROUP INCORPORATED
"The company also provides building management, telematic, control, energy efficiency and infrastructure program, geothermal, thermal energy, thermostats, rate chambers, package heating and cooling, temporary heating and cooling, and unitary systems; bus, rail, and multi-pipe heating, ventilation, and air conditioning systems; and container, diesel-powered, truck, industrial, rail, self-powered truck, trailer, and vehicle-powered truck refrigeration and air filtration systems, as well as aftermarket and OEM parts and supplies.",renewable_energy,Environmental,performance,Claim about renewable energy usage,"geothermal, thermal energy",0.0,False,unspecified,44,TRANE TECHNOLOGIES PLC
"In addition, it offers energy and facility management, installation and performance contracting, repair and maintenance, and rental services.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,44,TRANE TECHNOLOGIES PLC
"The company sells family apparel, including footwear and accessories; home fashions, such as home basics, furniture, rugs, lighting products, giftware, soft home products, decorative accessories, tabletop, and cookware, as well as expanded pet, and gourmet food departments; jewelry and accessories; and other merchandise.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,46,"TJX COMPANIES, INC."
"The company's Specialty Diagnostics segment offers liquid, ready-to-use, and lyophilized immunodiagnostic reagent kits, as well as calibrators, controls, protein detection assays, and instruments; immunodiagnostics develops, manufactures and markets complete bloodtest systems to support the clinical diagnosis and monitoring of allergy, asthma and autoimmune diseases; dehydrated and prepared culture media, collection and transport systems, instrumentation, and consumables; human leukocyte antigen typing and testing for organ transplant market; and healthcare products.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,47,"THERMO FISHER SCIENTIFIC, INC."
"The Bond & Specialty Insurance segment provides surety, fidelity, management and professional liability, and other property and casualty coverages and related risk management services through independent agencies and brokers.",risk_management,Governance,performance,Risk management practices claim,risk management,0.2,True,unspecified,49,"THE TRAVELERS COMPANIES, INC."
"The company also develops, constructs, acquires, owns, and manages power generation assets, including renewable energy projects and sells electricity in the wholesale market; and distributes natural gas in Illinois, Georgia, Virginia, and Tennessee, as well as provides gas marketing services, gas distribution operations, and gas pipeline investments operations.",renewable_energy,Environmental,performance,Claim about renewable energy usage,renewable energy projects and sells electricity,0.0,False,unspecified,50,THE SOUTHERN COMPANY
"The company operates combination food and drug stores, multi-department stores, marketplace stores, and price impact warehouses.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,53,THE KROGER CO.
"Its combination food and drug stores offer natural food and organic sections, pharmacies, general merchandise, pet centers, fresh seafood, and organic produce; and multi-department stores provide apparel, home fashion and furnishings, outdoor living, electronics, automotive products, and toys.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,53,THE KROGER CO.
"It markets and sells its products to wholesale distributors, chain grocery stores, mass merchandisers, chain drug stores, vending companies, wholesale clubs, convenience stores, dollar stores, concessionaires, and department stores.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,57,THE HERSHEY COMPANY
"The company sells its products through department stores, specialty-multi retailers, upscale perfumeries and pharmacies, and salons and spas; freestanding stores; its own and authorized retailer websites; third-party online malls; stores in airports; and duty-free locations.",env_certification,Environmental,credential,Environmental certification claim,epa,0.2,True,unspecified,59,THE ESTEE LAUDER COMPANIES INC. CLASS A
"It offers brokerage accounts with equity and fixed income trading, margin lending, options trading, futures and forex trading, and cash management capabilities, including certificates of deposit; third-party mutual funds through the Mutual Fund Marketplace and Mutual Fund OneSource service, as well as mutual fund trading and clearing services to broker-dealers; exchange-traded funds; advisory solutions for managed portfolios, separately managed accounts, customized personal advice for tailored portfolios, specialized planning, and full-time portfolio management; banking products comprising checking and savings accounts, first lien residential real estate mortgage loans, home equity lines of credit, and pledged asset lines; and trust custody services, personal trust reporting services, and administrative trustee services.",env_certification,Environmental,credential,Environmental certification claim,epa,0.2,True,future,62,THE CHARLES SCHWAB CORPORATION
"The Protection Services segment provides consumer product protection; protection and insurance products, including vehicle service contracts, guaranteed asset protection, road hazard tire and wheel, and paintless dent repair protection; and roadside assistance, device and mobile data collection services, and analytic solutions using automotive telematics information, as well as identity theft protection and remediation services.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,63,THE ALLSTATE CORPORATION
"The Textron Aviation segment manufactures, sells, and services business jets, turboprop and piston engine aircraft, and military trainer and defense aircraft; and offers maintenance, inspection, and repair services, as well as sells commercial parts.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,64,"TEXTRON, INC."
"The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers.",renewable_energy,Environmental,performance,Claim about renewable energy usage,solar energy generation and energy,0.0,False,unspecified,66,"TESLA, INC."
"The company offers voice, messaging, and data services to customers in the postpaid, prepaid, and wholesale and other services.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,73,"T-MOBILE US, INC."
"The company distributes frozen food, such as meat, seafood, fully prepared entrées, fruits, vegetables, and desserts; canned and dry food products; fresh meat and seafood products; dairy products; beverages; imported specialties; and fresh produce products.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,75,SYSCO CORPORATION
"Steel Dynamics, inc., together with its subsidiaries, operates as a steel producer and metal recycler in the United States.",waste_management,Environmental,performance,Waste management or recycling claim,recycler,0.0,False,unspecified,79,STEEL DYNAMICS INC
"The Metals Recycling Operations segment is involved in the ferrous and nonferrous scrap metal processing, transportation, marketing, brokerage, and scrap management services.",waste_management,Environmental,performance,Waste management or recycling claim,recycling,0.0,False,unspecified,79,STEEL DYNAMICS INC
The Aluminum Operations segment offers recycled aluminum flat rolled products.,waste_management,Environmental,performance,Waste management or recycling claim,recycled,0.0,False,unspecified,79,STEEL DYNAMICS INC
"The company offers investment servicing products and services, including custody, accounting, regulatory reporting, investor, and performance and analytics; middle office products, such as IBOR, transaction management, loans, cash, derivatives and collateral, record keeping, and client reporting and investment analytics; finance leasing; foreign exchange, and brokerage and other trading services; securities finance and enhanced custody products; deposit and short-term investment facilities; investment manager and alternative investment manager operations outsourcing; performance, risk, and compliance analytics; and financial data management to support institutional investors.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,80,STATE STREET CORPORATION
"It also engages in the provision of portfolio management and risk analytics, as well as trading and post-trade settlement services with integrated compliance and managed data.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,80,STATE STREET CORPORATION
"Snap-on Incorporated manufactures and markets tools, equipment, diagnostics, and repair information and systems solutions for professional users worldwide.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,84,SNAP-ON INCORPORATED
"It operates through Commercial & Industrial Group, Snap-on Tools Group, Repair Systems & Information Group, and Financial Services segments.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,84,SNAP-ON INCORPORATED
"It provides handheld and computer-based diagnostic products, service and repair information products, diagnostic software solutions, electronic parts catalogs, business management systems and services, point-of-sale systems, integrated systems for vehicle service shops, original equipment manufacturer purchasing facilitation services, and warranty management systems and analytics; and engineered solutions.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,84,SNAP-ON INCORPORATED
"In addition, the company offers solutions for the service of vehicles and industrial equipment that include wheel alignment equipment, wheel balancers, tire changers, vehicle lifts, test lane equipment, collision repair equipment, vehicle air conditioning service equipment, brake service equipment, fluid exchange equipment, transmission troubleshooting equipment, safety testing equipment, battery chargers, and hoists, as well as after-sales support services and training programs.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,84,SNAP-ON INCORPORATED
"It also provides asset management, cloud observability, integrated risk management; information technology (IT) service management applications; IT service management product suite for enterprise's employees, customers, and partners; strategic portfolio management product suite; IT operations management product that connects a customer's physical and cloud-based IT infrastructure; IT asset management; and security operations that connects with internal and third party.",risk_management,Governance,performance,Risk management practices claim,risk management,0.0,False,unspecified,87,"SERVICENOW, INC."
"In addition, the company offers integrated risk management product to manage risk and resilience; environmental, social and governance management product; human resources, legal, and workplace service delivery products; customer service management product; and field service management applications.",risk_management,Governance,performance,Risk management practices claim,risk management,0.0,False,unspecified,87,"SERVICENOW, INC."
The company's Ross Dress for Less stores sell its products at department and specialty stores to middle income households; and dd's DISCOUNTS stores sell its products at department and discount stores for households with moderate income.,env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,95,ROSS STORES INC
"The Application Software segment offers management, campus solutions, diagnostic and laboratory information management, enterprise software and information solutions, transportation management, financial and compliance management, and cloud-based financial analytics and performance management software; cloud-based software to the property and casualty insurance industry; and software, services, and technologies for foodservice operations.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,96,"ROPER TECHNOLOGIES, INC."
"Rollins, inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally.",biodiversity,Environmental,performance,Biodiversity or ecosystem claim,wildlife,0.0,False,unspecified,97,"ROLLINS, INC."
"The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife.",biodiversity,Environmental,performance,Biodiversity or ecosystem claim,wildlife,0.0,False,unspecified,97,"ROLLINS, INC."
"It serves discrete end markets, including automotive, semiconductor, and warehousing and logistics, as well as general industries comprising printing and publishing, marine, glass, fiber and textiles, airports, and aerospace; hybrid end markets, such as food and beverage, life sciences, household and personal care, and tire, as well as eco industrial, including water/wastewater, waste management, mass transit, and renewable energy; and process end markets comprising oil and gas, mining, metals, chemicals, pulp and paper, and others.",renewable_energy,Environmental,performance,Claim about renewable energy usage,renewable energy,0.0,False,unspecified,98,"ROCKWELL AUTOMATION, INC."
"The Protiviti segment offers consulting services in the areas of internal audit, technology consulting, risk, and compliance consulting.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,99,ROBERT HALF INC.
"The company also provides AirView, a cloud-based system that enables remote monitoring and changing of patients' device settings; myAir, a personalized therapy management application for patients with sleep apnea that provides support, education, and troubleshooting tools for increased patient engagement and improved compliance; U-Sleep, a compliance monitoring solution that enables home medical equipment (HME) to streamline their sleep programs; connectivity module and propeller solutions; and Propeller portal.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,past,101,RESMED INC.
"It is involved in the collection and processing of recyclable, solid waste, and industrial waste materials; transportation and disposal of non-hazardous and hazardous waste streams; and other environmental solutions.",waste_management,Environmental,performance,Waste management or recycling claim,recyclable,0.0,False,unspecified,102,REPUBLIC SERVICES INC.
"Its residential collection services include curbside collection of material for transport to transfer stations, landfills, recycling centers, and organics processing facilities; supply of recycling and waste containers; and renting of compactors.",waste_management,Environmental,performance,Waste management or recycling claim,recycling,0.0,False,unspecified,102,REPUBLIC SERVICES INC.
"It sells its products to department stores, specialty stores, and golf and pro shops, as well as directly to consumers through its retail stores, concession-based shop-within-shops, and its digital commerce sites.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,108,RALPH LAUREN CORPORATION
The company also provides risk assessment services for the life insurance industry; and healthcare organizations and clinicians information technology solutions.,risk_management,Governance,performance,Risk management practices claim,risk assessment,0.0,False,unspecified,109,QUEST DIAGNOSTICS INC.
"Quanta Services, inc. provides infrastructure solutions for the electric and gas utility, renewable energy, communications, and pipeline and energy industries in the United States, Canada, Australia, and internationally.",renewable_energy,Environmental,performance,Claim about renewable energy usage,renewable energy,0.0,False,unspecified,110,"QUANTA SERVICES, INC."
"The company's Electric Power Infrastructure Solutions segment engages in the design, procurement, construction, upgrade, repair, and maintenance of electric power transmission and distribution infrastructure and substation facilities; installation, maintenance, and upgrade of electric power infrastructure projects; installation of smart grid technologies on electric power networks; and design, installation, maintenance, and repair of commercial and industrial wirings.",env_certification,Environmental,credential,Environmental certification claim,epa,0.2,True,unspecified,110,"QUANTA SERVICES, INC."
"The company's Renewable Energy Infrastructure Solutions segment is involved in engineering, procurement, construction, repair, and maintenance of wind, solar, and hydropower generation facilities, as well as battery storage facilities; and provision of engineering and construction services for substations and switchyards, transmission, and other electrical infrastructures.",renewable_energy,Environmental,performance,Claim about renewable energy usage,renewable energy,0.0,False,unspecified,110,"QUANTA SERVICES, INC."
"The company's Underground Utility and Infrastructure Solutions segment offers design, engineering, procurement, construction, upgrade, repair, and maintenance services for natural gas systems for gas utility customers; fabrication services for pipeline support systems and structures and facilities; and engineering and construction services for pipeline and storage systems, and compressor and pump stations.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,110,"QUANTA SERVICES, INC."
"The PSE&G segment transmits electricity; distributes electricity and natural gas to residential, commercial, and industrial customers; and appliance services and repairs to customers through its service territory, as well as invests in solar generation projects, and energy efficiency and related programs.",renewable_energy,Environmental,performance,Claim about renewable energy usage,"solar generation projects, and energy",0.0,False,unspecified,115,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED
"The company sells its products primarily through mass merchandisers, e-commerce, grocery stores, membership club stores, drug stores, department stores, distributors, wholesalers, specialty beauty stores, high-frequency stores, pharmacies, electronics stores, and professional channels, as well as directly to consumers.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,120,PROCTER & GAMBLE COMPANY
"The Performance Coatings segment offers coatings, solvents, adhesives, sealants, sundries, and software for automotive and commercial transport/fleet repair and refurbishing, light industrial coatings, and specialty coatings for signs; wood stains; paints, thermoplastics, pavement marking products, and other advanced technologies for pavement marking for government, commercial infrastructure, painting, and maintenance contractors; and coatings, sealants, transparencies, transparent armor, adhesives, engineered materials, and packaging and chemical management services for commercial, military, regional jet, and general aviation aircraft.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,123,"PPG INDUSTRIES, INC."
"It also provides coatings for metal cans, closures, plastic and aluminum tubes for food, beverage and personal care, promotional, and specialty packaging; amorphous precipitated silica for tire, battery separator, and other end-uses; TESLIN substrates for labels, e-passports, drivers' licenses, breathable membranes, and loyalty and identification cards; and organic light emitting diode materials, displays and lighting lens materials, optical lenses, color-change products, and photochromic dyes.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,123,"PPG INDUSTRIES, INC."
"The Flow segment designs, manufactures, and sells fluid treatment and pump products and systems, including pressure vessels, gas recovery solutions, membrane bioreactors, wastewater reuse systems and advanced membrane filtration, separation systems, water disposal pumps, water supply pumps, fluid transfer pumps, turbine pumps, solid handling pumps, and agricultural spray nozzles for fluid delivery, ion exchange, desalination, food and beverage, separation technologies in the oil and gas industry, residential and municipal wells, water treatment, wastewater solids handling, pressure boosting, circulation and transfer, fire suppression, flood control, agricultural irrigation, and crop spray in residential, commercial, and industrial markets.",water_conservation,Environmental,performance,Water conservation or efficiency claim,water reuse,0.2,True,unspecified,131,PENTAIR PLC
"The Water Solutions segment provides commercial and residential water treatment products and systems, including pressure tanks, control valves, activated carbon products, commercial ice machines, conventional filtration products, and point-of-entry and point-of-use water treatment systems, as well as installation and preventative services for use in residential whole home water filtration, drinking water filtration, and water softening solutions, as well as commercial total water management and filtration in foodservice operations.",water_conservation,Environmental,performance,Water conservation or efficiency claim,water treatment,0.0,False,unspecified,131,PENTAIR PLC
"The Pool segment provides residential and commercial pool equipment and accessories comprising pumps, filters, heaters, lights, automatic controls, automatic cleaners, maintenance equipment, and pool accessories for applications in residential and commercial pool maintenance, pool repair, renovation, service, and construction and aquaculture solutions.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,131,PENTAIR PLC
"It offers payroll processing services; payroll tax administration services; employee payment services; and regulatory compliance services, such as new-hire reporting and garnishment processing.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,133,PAYCHEX INC
"The company also provides HR solutions, including payroll, employer compliance, HR and employee benefits administration, risk management outsourcing, and the on-site availability of a professionally trained HR representative; and retirement services administration, including plan implementation, ongoing compliance with government regulations, employee and employer reporting, participant and employer online access, electronic funds transfer, and other administrative services.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,133,PAYCHEX INC
"In addition, it offers cloud-based HR administration software products for employee benefits management and administration, time and attendance, digital communication solutions, recruiting, and onboarding solutions; plan administration outsourcing and state unemployment insurance services; various business services to small to medium-sized businesses comprising payroll funding and outsourcing services, which include payroll processing, invoicing, and tax preparation; and payment processing services, financial fitness programs, and a small-business loan resource center.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,133,PAYCHEX INC
"Further, the company provides insurance services for property and casualty coverage, such as workers' compensation, business-owner policies, cyber security protection, and commercial auto, as well as health and benefits coverage, including health, dental, vision, and life.",data_privacy,Social,performance,Data privacy and security claim,cyber security,0.0,False,unspecified,133,PAYCHEX INC
"Palo Alto Networks, inc. provides cybersecurity solutions worldwide.",data_privacy,Social,performance,Data privacy and security claim,cybersecurity,0.0,False,unspecified,136,"PALO ALTO NETWORKS, INC."
"Its intelligent power technologies enable the electrification of the automotive industry that allows for lighter and longer-range electric vehicles, empowers fast-charging systems, and propels sustainable energy for the solar strings, industrial power, and storage systems.",renewable_energy,Environmental,performance,Claim about renewable energy usage,"solar strings, industrial power",0.0,False,unspecified,141,ON SEMICONDUCTOR CORP
"In addition, the company provide enhanced services and programs comprising used oil, oil filter, and battery recycling; battery, wiper, and bulb replacement; battery diagnostic testing; electrical and module testing; check engine light code extraction; loaner tool program; drum and rotor resurfacing; custom hydraulic hoses; and professional paint shop mixing and related materials.",waste_management,Environmental,performance,Waste management or recycling claim,recycling,0.0,False,unspecified,144,"O'REILLY AUTOMOTIVE, INC."
"It sells its products to original equipment manufacturers, original device manufacturers, system integrators and distributors, independent software vendors, cloud service providers, consumer internet companies, add-in board manufacturers, distributors, automotive manufacturers and tier-1 automotive suppliers, and other ecosystem participants.",biodiversity,Environmental,performance,Biodiversity or ecosystem claim,ecosystem,0.2,True,unspecified,147,NVIDIA CORP
"It offers retail electricity and energy management, line and surge protection products, HVAC installation, repair and maintenance, home protection products, carbon offsets, back-up power stations, portable power, portable solar, and portable lighting; retail services comprising demand response, commodity sales, energy efficiency, and energy management solutions; and system power, distributed generation, renewable and low-carbon products, carbon management and specialty services, backup generation, storage and distributed solar, and energy advisory services.",renewable_energy,Environmental,performance,Claim about renewable energy usage,"solar, and energy",0.2,True,unspecified,149,"NRG ENERGY, INC."
"The company also provides asset management services, such as active and passive equity; active and passive fixed income; cash management; muti-asset and alternative asset classes comprising private equity and hedge funds of funds; and multi-manager advisory services and products through separately managed accounts, bank common and collective funds, registered investment companies, exchange traded funds, non-U.S. collective investment funds, and unregistered private investment funds.",env_certification,Environmental,credential,Environmental certification claim,epa,0.2,True,unspecified,152,NORTHERN TRUST CORP
"In addition, it offers overlay and other risk management services.",risk_management,Governance,performance,Risk management practices claim,risk management,0.0,False,unspecified,152,NORTHERN TRUST CORP
"It sells its products to footwear stores; sporting goods stores; athletic specialty stores; department stores; skate, tennis, and golf shops; and other retail accounts through NIKE-owned retail stores, digital platforms, independent distributors, licensees, and sales representatives.",env_certification,Environmental,credential,Environmental certification claim,epa,0.2,True,unspecified,156,"NIKE, INC."
"The company distributes content and data products, including The Wall Street Journal, Barron's, MarketWatch, Investor's Business Daily, Factiva, Dow Jones Risk & Compliance, Dow Jones Newswires, and OPIS through various media channels, such as newspapers, newswires, websites, mobile apps, newsletters, magazines, proprietary databases, live journalism, video, and podcasts.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,158,NEWS CORPORATION CLASS A
"The company offers intelligent data management software, such as NetApp ONTAP, NetApp Snapshot, NetApp SnapCenter Backup Management, NetApp SnapMirror Data Replication, NetApp SnapLock Data Compliance, and storage infrastructure solutions, including NetApp All-Flash FAS series, NetApp Fabric Attached Storage, NetApp E/EF series, and NetApp StorageGRID.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.2,True,unspecified,161,"NETAPP, INC"
"The company serves the energy, financial service, government, technology, internet, life science, healthcare service, manufacturing, media, entertainment, animation, video postproduction, and markets through a direct sales force and an ecosystem of partners.",biodiversity,Environmental,performance,Biodiversity or ecosystem claim,ecosystem,0.0,False,unspecified,161,"NETAPP, INC"
"MSCI inc., together with its subsidiaries, provides critical decision support tools and solutions for the investment community to manage investment processes worldwide.",community_impact,Social,performance,Community engagement or philanthropy claim,community to manage invest,0.0,False,unspecified,163,"MSCI, INC."
"The Analytics segment offers risk management, performance attribution and portfolio management content, application, an integrated view of risk and return service, and an analysis of market, credit, liquidity, counterparty, and climate risk across asset classes; managed services, including consolidation of client portfolio data, review and reconciliation of input data and results, and customized reporting; and HedgePlatform to measure, evaluate, and monitor the risk of hedge fund investments.",risk_management,Governance,performance,Risk management practices claim,risk management,0.0,False,unspecified,163,"MSCI, INC."
